claim_id,claim_group,source_label,source_url,status,language,corpus_scope,terms,spellings_or_forms,skip_or_rule,layout_or_metric,current_reproduction,evidence,notes
torah_forward_50_genesis,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Genesis Koren Torah,Torah,TWRH / תורה,+50 forward,book-start ELS,Found the expected early Genesis hit plus additional Genesis hits,docs/COMMON_EDLS_TEST.md,Engine reproduces the common Torah skip-50 sanity check without importing external ELS code.
torah_forward_50_exodus,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Exodus Koren Torah,Torah,TWRH / תורה,+50 forward,book-start ELS,Found the expected early Exodus hit plus additional Exodus hits,docs/COMMON_EDLS_TEST.md,Engine reproduces the common Torah skip-50 sanity check without importing external ELS code.
torah_reverse_50_numbers,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Numbers Koren Torah,Torah reversed,HRWT / הרות,+50 forward on reversed spelling,book-start reverse ELS,Found the expected early Numbers reverse hit plus additional Numbers hits,docs/COMMON_EDLS_TEST.md,Recorded as Michigan-Claremont forward spelling HRWT.
torah_reverse_49_deuteronomy,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Deuteronomy Koren Torah,Torah reversed,HRWT / הרות,+49 forward on reversed spelling,book-start reverse ELS,Found the expected early Deuteronomy reverse hit plus additional Deuteronomy hits,docs/COMMON_EDLS_TEST.md,Classic popular version often cites reverse Torah near Deuteronomy opening.
yhwh_leviticus_skip8,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Leviticus Koren Torah,YHWH,YHWH / יהוה,+8 forward,book-start ELS,Found the expected Leviticus opening hit plus additional Leviticus hits,docs/COMMON_EDLS_TEST.md,Sanity check only; small shuffled controls do not test the book-start placement claim.
wrr_1994_great_rabbis,wrr_1994,Witztum Rips Rosenberg 1994,https://doi.org/10.1214/ss/1177010393,under_specified,hebrew,Genesis,rabbi names and dates,canonical appellations plus Hebrew date encodings,WRR-defined skip/layout rules,proximity statistic,Source audit imports WRR2 and fingerprints Koren Genesis but the claim-readiness gate remains blocked until pair universe corrected distance skip caps and permutation rule are locked,docs/WRR_CLAIM_READINESS.md,Source audit remains docs/WRR_SOURCE_AUDIT.md; do not claim reproduction until the readiness gate passes from citable sources.
doxa_exact_center_extension,project_followup,Post-discovery Greek doxa extension follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Glory,doxa / δοξα with δοξανωσ,+21 forward,same-skip term-plus-after extension with exact center context,Four-source 5000/5000 and 20000/20000 follow-ups passed registered q <= 0.01 review gates; the 20000/20000 run has combined q = 0.0009 in all four sources and all-control q <= 0.05,docs/DOXA_FOUR_SOURCE_CONFIRMATORY_FOLLOWUP_REPORT.md,Post-discovery follow-up; full extension phrase is hidden-path only and not surface text in the hit passage.
gog_rev_20_8_centered_occurrence,project_followup,Greek Gog centered occurrence follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Gog,γωγ,full-span exact-center both directions,centered-self occurrence with matched length-3 surface controls,Hidden Greek Gog centers on open Gog at Rev 20:8 across all four compared Greek NT source labels; matched length-3 controls caution against frequency promotion,docs/CENTERED_OCCURRENCE_INDEX.md,Occurrence-first review row; preserve in final occurrence list but do not promote as a claim.
greek_expanded_surface_followup,project_followup,Post-screen Greek expanded surface follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Isaac Lawlessness Wonder,ισαακ / ανομια / τερας,skip -7 -13 and +20 exact-center surface rows,all-source exact-center surface context with all-available real-word controls,Selected rows pass letter-path audit and all-available same-length controls with q 0.032258,docs/GREEK_EXPANDED_SURFACE_FOLLOWUP_REPORT.md,Post-screen follow-up from previously observed surface queue; not prospective discovery or claim.
all_codes_yom_yhwh_compound_extension,project_followup,Post-screen all-codes יום יהוה compound-extension follow-up,,controlled_review_candidate,hebrew,EBIBLE_WLC MAM MT_WLC UHB and UXLC,Day of YHWH,יום יהוה with היומיהוה,skip +4 forward,same-skip before-plus-term compound extension,Selected key passed locked 5000/5000 confirmatory controls in all five MT-family sources with conservative all-control q = 0.003599,docs/ALL_CODES_COMPOUND_EXTENSION_CONFIRMATORY_CONTROLS.md,Post-discovery follow-up from broad all-codes queue; review candidate not claim.
crd_exact_center_word_broad_screen,project_followup,CRD self and concept exact center-word broad screen,,partially_reproducible,hebrew/greek/english,Bible corpus set and language-matched secular controls,All committed CRD search terms,self-surface spellings and same-concept variants,skip 2..100 both directions,deterministic centered relevance density with exact center-word subset,Self-surface and concept-surface CRD produce identical 1153 Bible exact center-word term-hit rows; collapsed counts are 154 term IDs / 87 distinct normalized surface forms / 496 distinct normalized surface hit paths; center-word-only summary has 141 terms above secular max and 114 Bible-positive secular-zero terms; concept expansion changes zero exact center-word exceedance decisions,docs/CRD_CENTER_WORD_SELF_VS_CONCEPT_FINDINGS.md,Review packet only; exact center-word rows are occurrence and density flags not claim-grade evidence; version-presence companion is docs/CRD_CENTER_WORD_VERSION_PRESENCE_FINDINGS.md.
greek_surface_length4_vocab_controls,project_followup,Post-discovery Greek length-4 surface follow-up,,partially_reproducible,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Amen Aram Asher Cush Lasha Seba Zion,αμην / αραμ / ασηρ / χουσ / δασα / σαβα / σιων,length-4 all-source exact-center surface rows,vocabulary-derived real-word matched controls,Length-4 rows reproduce but generated vocabulary controls overlap every target and no target survives study-level q <= 0.05,docs/GREEK_SURFACE_LENGTH4_VOCABULARY_CONTROL_EVALUATION.md,Post-discovery follow-up; useful caution about sparse declared-term controls rather than claim evidence.
modern_geopolitical_short_forms,user_requested_screen,User-requested modern/geopolitical screening,,partially_reproducible,hebrew/greek,Hebrew MT-family and Greek LXX/NT representative streams,Trump Vance Netanyahu Iran Russia France Europe Germany Turkey NATO USA United Nations Gog Magog Beast Dragon,declared Hebrew and Greek transliterations,skip 2..250 both directions,wide counts exact ref-key presence plus representative paired controls,Short forms are often present and version-stable where present but representative paired controls do not support a claim,docs/WIDE_FOCUS_PAIRED_CONTROLS.md,Presence is reproducible as screening output; significance is not supported.
modern_full_country_phrases,user_requested_screen,User-requested modern/geopolitical screening,,not_reproducible,hebrew/greek,Hebrew MT-family and Greek LXX/NT representative streams,United States United States of America United Nations European Union,declared full phrase transliterations,skip 2..250 both directions,wide counts plus capped exact ref-key version presence,Full phrase forms remain absent in the wide count and exact follow-up,docs/WIDE_FOCUS_EXACT_PRESENCE.md,Short acronyms are high-noise and should not be treated as phrase hits.
local_business_place_terms,user_requested_screen,User-requested local screening,,partially_reproducible,hebrew/greek,Hebrew MT-family and Greek NT representative streams,Cowboy Catering Simsberry Simscorner,declared Hebrew and Greek transliterations,skip 2..250 both directions,local negative appendix exact ref-key presence plus representative paired controls,Local appendix found Hebrew Cowboy only; Cowboy is not unusual under representative controls; Hebrew Catering/Cowboy Catering/Simsberry/Simscorner and all Greek local forms are absent,docs/LOCAL_TERMS_APPENDIX_REPORT.md,No local row has adjusted control support or claim status.
lxx_apocrypha_bridge_boundary,user_requested_study,User-requested apocrypha bridge-completion study,,partially_reproducible,greek,eBible GRCLXX canonical plus deuterocanon/apocrypha boundary,Theological prophetic and Greek NT claim terms,declared normalized Greek forms,skip 2..250 both directions crossing canonical/apocrypha boundary,bridge row count with non-Bible and shuffled insertion controls,LXX boundary rows reproduce but same-length non-Bible controls are comparable and 100 shuffled controls include 16 samples at or above observed with p_ge 0.168317,docs/APOCRYPHA_BRIDGE_STUDY.md,Bridge-completion mechanics are implemented but current LXX control read does not support significance.
kjva_apocrypha_bridge_boundary,user_requested_study,User-requested KJV Apocrypha bridge-completion study,,controlled_review_candidate,english,eBible KJV with Apocrypha canonical plus apocrypha boundary,English search terms,declared normalized English forms,skip 2..250 both directions crossing canonical/apocrypha boundary,bridge row count with non-Bible and shuffled insertion controls,KJVA bridge pass found 350 rows versus non-Bible controls of 182 140 and 168; term review found 48 of 81 bridge terms above all three same-length non-Bible term controls; 250 total shuffled controls produced 149 to 236 rows with p_ge 0.003984; 1000 term shuffled controls found 8 of 81 terms above every shuffled sample and 15 terms with BH q_ge <= 0.05; locked 5000 post-screen confirmatory controls over those 15 terms found all 15 at BH q_ge <= 0.01 and 3 above every shuffled sample,docs/APOCRYPHA_BRIDGE_STUDY.md,Post-screen follow-up candidate only; 15 registered confirmatory terms pass BH q_ge <= 0.01 under 5000 samples but no center-word exact bridge rows and this is not original prospective discovery.
rabin_assassination_hebrew,public_media_claim,Popular Bible-code/Rabin claim,,under_specified,hebrew,Hebrew Bible,Rabin assassination,רבין / יצחק רבין / רבין נרצח,not locked,claimed close clustering,Term rows exist but a claim-specific source spelling skip and clustering metric are not locked,docs/HEBREW_CLAIM_TERMS.md,Needs a cited claim source and predeclared spelling/layout before reproduction status can be assigned.
hitler_shoah_hebrew,public_media_claim,Popular Holocaust-related Bible-code claims,,under_specified,hebrew,Hebrew Bible,Hitler Shoah Holocaust,היטלר / שואה / הולוקוסט,not locked,claimed close clustering,Term rows exist but no specific public claim geometry has been locked,docs/HEBREW_CLAIM_TERMS.md,Screening terms are not the same thing as reproducing a public claim.
jesus_hebrew_phrases,public_media_claim,Popular Messianic/Jesus Bible-code claims,,under_specified,hebrew,Hebrew Bible,Jesus phrases,ישוע / אני ישוע / ישוע נצלב / דם ישוע,not locked,claimed phrases or clusters,Term rows exist but specific claim spellings source text and metric are not locked,docs/HEBREW_CLAIM_TERMS.md,Requires a claim-by-claim spelling audit because variants change the search target.
critical_omission_breakage,user_requested_study,TR vs critical omitted-verse breakage study,,partially_reproducible,greek,TR_NT versus SBLGNT/critical NT,ELS broken by critical-text omissions,term-specific patterns,omitted-verse comparison,breakage by removed verse/span,Initial omitted-verse breakage and critical-surface variant reports exist,docs/CRITICAL_OMISSION_BREAKS.md,Useful study path but not a single public claim.
word_multiples_omissions,user_requested_study,Word-count multiples and critical omissions study,,partially_reproducible,greek,TR_NT versus SBLGNT/critical NT,content-word multiples,lemmas and surface words,multiple checks 3 7 12 40 49 50 70,count multiple breakage,Initial word and morphology multiple reports exist,docs/WORD_COUNTS_STUDY.md,Counts are screening evidence only until term class and multiple rules are locked prospectively.
bcd_yeshua_messiah_extensions,bible_code_digest,Bible Code Digest Yeshua Messiah extension family,https://biblecodedigest.com/page.php/620,under_specified,hebrew,Hebrew Bible / Tanakh,Yeshua Messiah and related phrases,ישוע המשיח / המשיח ישוע plus related forms,not locked,same-skip extensions and matrix-style review,BCD source audit and screening terms added but exact spellings skip geometry and controls are not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Do not treat the BCD extension family as reproduced until the exact BCD spellings and extension rules are predeclared.
bcd_isaiah53_psalm22_yeshua,bible_code_digest,Bible Code Digest Isaiah 53 and Psalm 22 Yeshua clusters,https://biblecodedigest.com/page.php/199,under_specified,hebrew,Isaiah 53 and Psalm 22,Yeshua Messiah servant and passion terms,ישוע / משיח / בן האדם / אשם / שורש דוד,not locked,passage-centered cluster and surface-context review,BCD source audit and screening terms added but exact cluster metric is not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Needs exact page-specific Hebrew spellings row widths and proximity statistic.
bcd_king_david_underscoring,bible_code_digest,Bible Code Digest King David underscoring claim,https://biblecodedigest.com/page.php/420,under_specified,hebrew,Samuel / Hebrew Bible,King David and David-context terms,דוד המלך / מלך דוד / בית דוד,not locked,underscoring or repeated-line matrix visual,BCD source audit and screening terms added but underscoring rule is not machine-locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Visual matrix effect needs exact row width corpus and scoring rule before reproduction.
bcd_ezekiel_war_temple,bible_code_digest,Bible Code Digest Ezekiel war and Temple cluster,https://biblecodedigest.com/page.php/199,under_specified,hebrew,Ezekiel 38-40,Gog Magog war Temple and judgment terms,גוג / מגוג / מלחמה / מקדש / בית שלישי,not locked,passage-centered cluster extensions and matrix review,BCD source audit and screening terms added but exact Ezekiel claim geometry is not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Needs a page-specific rule separating ordinary Ezekiel surface relevance from hidden path significance.
bcd_who_like_god_searches,bible_code_digest,Bible Code Digest Who is like God question searches,https://biblecodedigest.com/page_PageID_474.html,under_specified,hebrew,Exodus 15 Isaiah 40-46 Proverbs 30:4,Who is like God and related answer phrases,מי כמכה באלם יהוה / אין כמוך באלהים / מי עלה שמים וירד,not locked,question-answer style ELS searches and extensions,BCD source audit and screening terms added but exact answer spellings and control rules are not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Question-style searches need strict predeclared answer universe to avoid post-selection.
bcd_shimon_peres_politics,bible_code_digest,Bible Code Digest Shimon Peres politics claims,https://biblecodedigest.com/page.php/199,under_specified,hebrew,Hebrew Bible,Shimon Peres election terms,שמעון פרס / פרס / לא יבחר / יבחר / קדימה,not locked,matrix cluster and event-prediction claim,BCD source audit and screening terms added but exact page rule and date handling are not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Political event claims need archived pre-event source and fixed spelling audit.
bcd_obama_us_election,bible_code_digest,Bible Code Digest Obama and U.S. election claims,https://biblecodedigest.com/page.php/352,under_specified,hebrew,Hebrew Bible,Obama U.S. election and government terms,ברק אובמה / אובמה / הבית הלבן / קונגרס,not locked,topical cluster and matrix review,BCD source audit and screening terms added but exact page rule and source timing are not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Modern political terms require same-length controls and pre/post-publication source audit.
bcd_disaster_crisis_clusters,bible_code_digest,Bible Code Digest disaster terrorism economy and climate clusters,https://biblecodedigest.com/page.php/199,under_specified,hebrew,Hebrew Bible,terrorism disaster economy and climate terms,ניו יורק / אנתרקס / רעש / צונאמי / משבר כלכלי עולמי / שינוי אקלים,not locked,topic-cluster matrices and extension review,BCD source audit and screening terms added but exact claim geometries are not locked,docs/BIBLE_CODE_DIGEST_AUDIT.md,Broad topical clusters are high multiple-testing risk unless term universe and controls are fixed first.
thewordnotes_source_version_sensitivity,thewordnotes_source,TheWordNotes ELS source-version sensitivity claim,https://www.thewordnotes.com/els.pdf,under_specified,hebrew/greek,Masoretic Hebrew and Greek Received Text,source-version ELS sensitivity,Masoretic Hebrew / Received Text / KJV underlier,not locked,source-version presence comparison,Source claims ELS only works in Masoretic Hebrew and Greek Received Text but exact source editions and tests need locking,docs/THEWORDNOTES_ELS_AUDIT.md,Useful source-sensitivity claim; not validated.
thewordnotes_grant_jeffrey_historical_clusters,thewordnotes_source,TheWordNotes Grant Jeffrey historical cluster family,https://www.thewordnotes.com/els.pdf,under_specified,hebrew,Hebrew Bible,Israel Eden Judah-David Hanukkah Sadat Hitler French Revolution Aaron,declared twn Hebrew forms,not locked,passage clusters and ELS terms,Source audit and term list added but exact geometry and controls are not locked,docs/THEWORDNOTES_ELS_AUDIT.md,Secondary compilation; needs exact spellings and letter paths before reproduction.
thewordnotes_rambsel_yeshua_examples,thewordnotes_source,TheWordNotes Rambsel Yeshua example family,https://www.thewordnotes.com/els.pdf,under_specified,hebrew,Hebrew Bible,Yeshua Messiah Jesus phrases,ישוע / משיח / ישוע שמי / דם ישוע,claimed fixed skips in named passages,letter-path audit,Source gives many refs and skips but exact source edition and start-letter indexes remain unlocked,docs/THEWORDNOTES_ELS_AUDIT.md,Do not promote until every cited skip and direction is verified in a locked source text.
thewordnotes_isaiah53_rambsel_table,thewordnotes_source,TheWordNotes Rambsel Isaiah 52-54 table family,https://www.thewordnotes.com/els.pdf,under_specified,hebrew,Isaiah 52-54,Yeshua Messiah disciples Mary cross Passover Galilee atonement lamb,declared table terms,claimed interval table,passage-centered table and transcription audit,Source table added but source itself notes transcription issues and exact letter indexes need audit,docs/THEWORDNOTES_ELS_AUDIT.md,High multiple-testing risk until row width term universe and transcription mismatches are locked.
cosmic_codes_torah_tree_wrr_examples,cosmic_codes_source,Cosmic Codes Torah tree and WRR-style examples,,under_specified,hebrew,Torah and Genesis,Torah YHWH Israel Genesis trees rabbis dates,declared cc Hebrew forms,not locked,book-opening ELS tree cluster and proximity statistics,Source audit and term list added but exact source text table geometry and controls are not locked,docs/COSMIC_CODES_AUDIT.md,Copyrighted secondary source reviewed locally; no source PDF committed.
cosmic_codes_holocaust_historical_clusters,cosmic_codes_source,Cosmic Codes Holocaust and historical event clusters,,under_specified,hebrew,Hebrew Bible,Hitler Auschwitz Shoah Eichmann Sadat Gulf War Arafat Oklahoma City Pearl Harbor,declared cc Hebrew forms,not locked,passage clusters and matrix terms,Source audit and term list added but exact source attributions line widths and controls are not locked,docs/COSMIC_CODES_AUDIT.md,Broad historical clusters require same-length controls and strict post-selection accounting.
cosmic_codes_yeshua_isaiah53_table,cosmic_codes_source,Cosmic Codes Rambsel Yeshua and Isaiah 53 table,,under_specified,hebrew,Isaiah 52-54 plus Messianic passages,Yeshua Messiah disciples Mary cross Passover Galilee atonement lamb,declared cc Hebrew forms,claimed fixed skips and table rows,letter-path audit and passage-centered table review,Source audit and term list added but exact start indexes source edition and table geometry need audit,docs/COSMIC_CODES_AUDIT.md,Overlaps TheWordNotes but has Missler-specific table details and caveats.
cosmic_codes_numerics_macrocodes,cosmic_codes_source,Cosmic Codes numerics and macrocodes,,under_specified,hebrew/greek,KJV Hebrew and Greek source streams,Hallelujah Hosanna Shepherd Jehovah Sabaoth Corban Milk Isaac Aaron Abaddon Melchizedek,declared cc Hebrew Greek and English forms,word-count and gematria style checks,sevenfold count and macrostructure review,Source audit and term list added but count source morphology and translation rules need locking,docs/COSMIC_CODES_AUDIT.md,Not an ELS claim; route through word-count and multiples analysis rather than hidden-letter search only.
cosmic_codes_rabin_microcode,cosmic_codes_source,Cosmic Codes Rabin scripta-continua microcode example,,under_specified,hebrew,Genesis 15,Rabin evil fire and inferred spacing,רבין / אש רע,not ELS; alternate word spacing in continuous Hebrew text,scripta-continua phrase audit,Source audit added but this is a word-spacing microcode rather than an ELS hit,docs/COSMIC_CODES_AUDIT.md,Keep separate from Drosnin Rabin ELS claims and do not promote without exact plaintext audit.
mark_tabata_isaiah53_cluster,mark_tabata_source,Mark Tabata Isaiah 53 ELS cluster article,https://marktabata.com/2017/04/11/the-mysterious-equidistant-letter-skipping-of-isaiah-53/,under_specified,hebrew,Isaiah 52:13-53:12,Yeshua Messiah disciples Mary cross Passover Galilee atonement lamb,declared mt Hebrew forms,claimed fixed skips and dense topical cluster,passage-centered table and interweaving review,Public web source audit and term list added but exact Hebrew spellings source edition start indexes and row geometry need locking,docs/MARK_TABATA_ISAIAH53_AUDIT.md,Overlaps Cosmic Codes and TheWordNotes but provides a separate public source trail for the Isaiah 53 family.
mark_tabata_wrr_gans_statistics,mark_tabata_source,Mark Tabata WRR and Gans statistical support framing,https://marktabata.com/2017/04/11/the-mysterious-equidistant-letter-skipping-of-isaiah-53/,under_specified,hebrew,Genesis and Hebrew Bible,WRR rabbis dates and Gans city controls,not term rows,WRR and Gans proximity experiments,statistical support context not Isaiah 53 reproduction,Source audit added but the article summarizes prior studies rather than defining a complete reproducible Isaiah 53 statistic,docs/MARK_TABATA_ISAIAH53_AUDIT.md,Keep this as source-framing evidence until the exact WRR and Gans rules are independently locked.
felcjo_ringo_algorithm_control_source,methodology_source,Felcjo Ringo ELS algorithm and non-Bible control article,https://felcjo-ringo.medium.com/bible-codes-making-an-algorithm-to-find-hidden-word-sequences-in-text-c36e94556469,under_specified,english,Siddhartha paragraph and arbitrary text,all dictionary words in stride lanes,English dictionary words longer than two letters,all skips both directions,naive stride-lane dictionary scan,Methodology audit added; article found many ordinary English ELS words in a non-Bible paragraph and reports naive runtime limits,docs/FELCJO_RINGO_ALGORITHM_AUDIT.md,Use as implementation and control-design context only; no code imported and no positive Bible-code claim promoted.
bible_and_science_els_critique_controls,bible_and_science_source,Bible and Science ELS critique and controls,http://bibleandscience.com/bible/codes.htm,under_specified,english,Torah non-Bible books and arbitrary large texts,Rabin Sadat Kennedy Koran Moby Dick no God God is dead,declared bns stress forms,not locked,critique controls and negative phrase checks,Source audit and stress terms added but exact cited runs and source texts need independent locking,docs/BIBLE_AND_SCIENCE_CODES_AUDIT.md,Use as control-design guardrail rather than positive claim evidence.
bible_and_science_textual_variation_guardrail,bible_and_science_source,Bible and Science textual variation guardrail,http://bibleandscience.com/bible/codes.htm,under_specified,hebrew,Hebrew Bible manuscript streams,Aleppo Leningrad Cairo Pentateuch Damascus Pentateuch Dead Sea Scrolls 4Q Samuel,source labels not ELS terms,letter-level source variation,version/source distribution review,Source audit added; claim is that manuscript spelling variation changes ELS paths,docs/BIBLE_AND_SCIENCE_CODES_AUDIT.md,Route through source/version distribution rather than term-count promotion.
bible_and_science_non_els_codes,bible_and_science_source,Bible and Science non-ELS biblical code examples,http://bibleandscience.com/bible/codes.htm,under_specified,hebrew/greek,Hebrew Bible and Greek NT,acrostics Sheshach Leb Kamai Nero Caesar Beast Eliezer Jesus,declared bns Hebrew Greek and English forms,acrostic Atbash and gematria methods,non-ELS code classification,Source audit and terms added but these are not ELS hidden-letter claims,docs/BIBLE_AND_SCIENCE_CODES_AUDIT.md,Keep separate from ELS search; route to acrostic cryptogram gematria and word-count tools.
religions_wiki_scriptural_codes_critique,religions_wiki_source,Religions Wiki broad scriptural-codes critique,https://religions.wiki/index.php/Argument_from_scriptural_codes,under_specified,english,Bible Torah Quran and secular texts,Torah code Bible code War and Peace Moby Dick secular texts,declared rw stress forms,not locked,broad critique and control taxonomy,Source audit and stress terms added but underlying cited claims need independent primary-source locking,docs/RELIGIONS_WIKI_SCRIPTURAL_CODES_AUDIT.md,Use as critique taxonomy and control-design guardrail rather than positive claim evidence.
religions_wiki_quran_numeric_codes,religions_wiki_source,Religions Wiki Quran ELS and miracle of 19 critique,https://religions.wiki/index.php/Argument_from_scriptural_codes,under_specified,english,Quran,Quran code miracle of nineteen Rashad Khalifa Submitters,declared rw English labels,not locked,numeric and ELS critique taxonomy,Source audit added but Quran claims require separate corpus and method decisions before any run,docs/RELIGIONS_WIKI_SCRIPTURAL_CODES_AUDIT.md,Keep Quran numeric claims separate from Bible ELS analysis.
religions_wiki_gematria_theomatics,religions_wiki_source,Religions Wiki gematria and theomatics critique,https://religions.wiki/index.php/Argument_from_scriptural_codes,under_specified,english,Bible numerics and theomatics examples,Gematria Theomatics Del Washburn John three nineteen,declared rw English labels,not locked,gematria and clustering critique taxonomy,Source audit added but these are not ELS hidden-letter claims,docs/RELIGIONS_WIKI_SCRIPTURAL_CODES_AUDIT.md,Route through gematria and multiples tools only after numerical transform rules are locked.
religions_wiki_methodology_guardrails,religions_wiki_source,Religions Wiki cognitive-bias and multiple-comparison guardrails,https://religions.wiki/index.php/Argument_from_scriptural_codes,under_specified,english,All scriptural-code studies,Multiple comparisons Texas sharpshooter apophenia cognitive bias confirmation bias expert rejection,declared rw English labels,not locked,methodology guardrail taxonomy,Source audit added and report should use these as interpretation cautions,docs/RELIGIONS_WIKI_SCRIPTURAL_CODES_AUDIT.md,Use to strengthen final-report cautions and preregistration requirements.
amandasaurus_biblecode_prior_art,methodology_source,Amandasaurus/Rory Biblecode implementation prior art,https://github.com/amandasaurus/biblecode,under_specified,english,KJV Project Gutenberg and arbitrary plaintext,ELS finder implementation,alphabetic lowercase plaintext and independent search terms,derived signed skips from first two letters,matrix-style local context display,Prior-art audit added; repo is AGPL and useful for normalization/reporting cautions but no code is imported,docs/AMANDASAURUS_BIBLECODE_PRIOR_ART_AUDIT.md,Use as implementation context only; it does not define matched controls or a claim-grade statistic.
bible_codes_org_intro_matrix,bible_codes_org_source,Bible-codes.org intro and matrix demonstration,https://www.bible-codes.org/what-are-Bible-codes.htm,under_specified,english,KJV John 3:16 and arbitrary text,ELS matrix slide demo words,gate lane thin hits rent soot Jacob and matrix labels,positive and negative skips including one-letter and minus skips,fixed row-width matrix display,Source audit and term list added but the intro examples are educational demonstrations not claim-grade findings,docs/BIBLE_CODES_ORG_AUDIT.md,Use for English KJV matrix and row-width reporting requirements.
bible_codes_org_pictogram_clusters,bible_codes_org_source,Bible-codes.org pictogram cluster families,https://www.bible-codes.org/index.htm,under_specified,english,Exodus Genesis Daniel Isaiah KJV NT and genealogy streams,Burning Bush Creation Mene Tekel Cherub Israel Acrostic Names Code KJV Bible Code,declared bco English labels,not locked,overlapping pictogram and symbolic-image matrix claims,Source audit and term list added but exact row widths letter paths and image-scoring rules are not locked,docs/BIBLE_CODES_ORG_AUDIT.md,Picture-code claims need a separate preregistered geometry and image metric before reproduction.
bible_codes_org_authenticity_criteria,bible_codes_org_source,Bible-codes.org authenticity criteria,https://www.bible-codes.org/criterion-bible-code-prophecy.htm,under_specified,english,Hebrew Bible and linked pictogram examples,numerical coherence word dividers textual variants Christological focus fulfilled prophecy,declared bco criterion labels,not locked,source-defined authenticity criteria,Source audit added but criteria are interpretive and need machine-checkable fields before testing,docs/BIBLE_CODES_ORG_AUDIT.md,Do not collapse symbolic coherence variant behavior and prophecy fulfillment into one statistic.
bible_codes_org_prediction_claims,bible_codes_org_source,Bible-codes.org prediction and prophecy claims,https://www.bible-codes.org/bible_code_predictions.htm,under_specified,english,Modern events and biblical prophecy framing,Swine Flu Obama economic crunch September eleven twelve comets twenty twelve,declared bco English labels,not locked,prediction and fulfillment review,Source audit and term list added but claims need archived timing evidence and exact matrices before evaluation,docs/BIBLE_CODES_ORG_AUDIT.md,Prediction rows require pre-event archive evidence before any status elevation.
bible_codes_org_warnings,bible_codes_org_source,Bible-codes.org warnings against misuse,https://www.bible-codes.org/pictures-bible-code-riddles-seven-warnings.html,under_specified,english,All Bible-code studies,horoscope doctrine overclaim personal name search dogmatism,declared bco warning labels,not locked,interpretive guardrails,Source audit added and warnings should inform final-report cautions,docs/BIBLE_CODES_ORG_AUDIT.md,Use as guardrail material rather than positive claim evidence.
