decision_id,label,page_number,visual_review_status,visual_page_role,visual_text_signal,ocr_read_status,source_row_use,decision,reviewed_by,reviewed_at,notes
cities_ocr_page_review_001,cities_pdf_dp365a_p1_4,3,reviewed,appendix_toc_or_index_page,text_present,ocr_empty_but_visual_text_present,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Short appendix or contents style page only; OCR empty does not block source table pages.
cities_ocr_page_review_002,cities_pdf_dp365a_p1_4,4,reviewed,blank_or_separator_page,near_blank,ocr_empty_matches_near_blank_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Near blank separator page with only page marker; no source-row use.
cities_ocr_page_review_003,cities_pdf_dp365a_p5_11,1,reviewed,title_page,text_present,low_signal_ocr_matches_title_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Title page only; low OCR signal expected and not source-row-bearing.
cities_ocr_page_review_004,cities_pdf_dp365a_p12_17,1,reviewed,method_intro_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method-introduction prose page; no tabular source-row import.
cities_ocr_page_review_005,cities_pdf_dp365a_p12_17,2,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_006,cities_pdf_dp365a_p12_17,3,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_007,cities_pdf_dp365a_p12_17,4,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_008,cities_pdf_dp365a_p12_17,5,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_009,cities_pdf_dp365a_p12_17,6,reviewed,criteria_and_source_exception_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Criteria and source-discrepancy prose page; requires separate citable row lock before any data use.
cities_ocr_page_review_010,cities_pdf_dp365a_p5_11,2,reviewed,method_prose_with_index_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method prose with small index or outline; no source-row import.
cities_ocr_page_review_011,cities_pdf_dp365a_p5_11,3,reviewed,prose_with_source_table_page,text_present,ocr_signal_present_for_table_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual table present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_012,cities_pdf_dp365a_p5_11,4,reviewed,source_table_page,text_present,ocr_signal_present_for_table_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual table present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_013,cities_pdf_dp365a_p5_11,5,reviewed,source_table_page,text_present,ocr_signal_present_for_table_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual table present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_014,cities_pdf_dp365a_p5_11,6,reviewed,source_table_and_notes_page,text_present,ocr_signal_present_for_table_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual table and notes present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_015,cities_pdf_dp365a_p5_11,7,reviewed,method_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method notes page; no source-row import.
cities_ocr_page_review_016,cities_pdf_dp365a_p1_4,1,reviewed,method_toc_and_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method table-of-contents and prose page; no source-row import.
cities_ocr_page_review_017,cities_pdf_dp365a_p1_4,2,reviewed,method_toc_and_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method table-of-contents and prose page; no source-row import.
cities_ocr_page_review_018,cities_pdf_dp365a_appendix_6,1,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_019,cities_pdf_dp365a_appendix_6,2,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_020,cities_pdf_dp365a_appendix_7,1,reviewed,source_list_page,text_present,ocr_signal_present_for_list_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual list page present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_021,cities_pdf_dp365a_appendix_7,2,reviewed,source_list_page,text_present,ocr_signal_present_for_list_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual list page present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_022,cities_pdf_dp365a_appendix_7,3,reviewed,source_list_page,text_present,ocr_signal_present_for_list_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual list page present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_023,cities_pdf_dp365a_appendix_7,4,reviewed,source_list_page,text_present,ocr_signal_present_for_list_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual list page present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_024,cities_pdf_dp365a_appendix_7,5,reviewed,source_list_page,text_present,ocr_signal_present_for_list_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual list page present; row import blocked pending separate citable source-row lock.
cities_ocr_page_review_025,cities_pdf_dp365a_part_2_p105_111,1,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_026,cities_pdf_dp365a_part_2_p105_111,2,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_027,cities_pdf_dp365a_part_2_p105_111,3,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_028,cities_pdf_dp365a_part_2_p105_111,4,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_029,cities_pdf_dp365a_part_2_p105_111,5,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_030,cities_pdf_dp365a_part_2_p105_111,6,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_031,cities_pdf_dp365a_part_2_p105_111,7,reviewed,appendix_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Appendix prose page; no source-row import.
cities_ocr_page_review_032,cities_pdf_wrr,1,reviewed,context_paper_title_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper title page; not Cities source-row material.
cities_ocr_page_review_033,cities_pdf_wrr,2,reviewed,context_paper_figure_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper figure page; not Cities source-row material.
cities_ocr_page_review_034,cities_pdf_wrr,3,reviewed,context_paper_prose_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper prose page; not Cities source-row material.
cities_ocr_page_review_035,cities_pdf_wrr,4,reviewed,context_paper_table_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper table page; not Cities source-row material.
cities_ocr_page_review_036,cities_pdf_wrr,5,reviewed,context_paper_table_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper table page; not Cities source-row material.
cities_ocr_page_review_037,cities_pdf_wrr,6,reviewed,context_paper_prose_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper prose page; not Cities source-row material.
cities_ocr_page_review_038,cities_pdf_wrr,7,reviewed,context_paper_formula_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper formula page; not Cities source-row material.
cities_ocr_page_review_039,cities_pdf_wrr,8,reviewed,context_paper_formula_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper formula page; not Cities source-row material.
cities_ocr_page_review_040,cities_pdf_wrr,9,reviewed,context_paper_chart_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper chart page; not Cities source-row material.
cities_ocr_page_review_041,cities_pdf_wrr,10,reviewed,context_paper_reference_page,text_present,ocr_signal_present_for_context_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,WRR context paper reference page; not Cities source-row material.
